            Scotophilus|Nyctalus_le|Eptesicus_d|Vespertilio|Eptesicus_f|Eptesicus_n|Eptesicus_s|Lasiurus_sp|Myotis_albe|Myotis_blyt|Myotis_blyt|Myotis_blyt|Myotis_bech|Myotis_bran|Myotis_capa|Myotis_dasy|Myotis_daub|Myotis_domi|Myotis_emar|Myotis_hass|Myotis_hors|Myotis_keay|Myotis_levi|Myotis_macr|Myotis_mont|Myotis_muri|Myotis_myst|Myotis_natt|Myotis_oxyo|Myotis_rube|Myotis_thys|Myotis_vola|Myotis_welw|Myotis_yuma|Murina_leuc|Miniopterus|Vespertilio|Pipistrellu|Miniopterus|Pipistrellu|Pipistrellu|Pipistrellu|Pipistrellu|Myotis_evot|Myotis_form|Myotis_sica|Myotis_tric|Myotis_tric|Myotis_welw|Myotis_alca|Myotis_anne|Myotis_muri|Myotis_scot|Myotis_macr|Myotis_macr|Myotis_lesu|Myotis_seab|Eptesicus_h|Laephotis_w|Eptesicus_c|Eptesicus_c|Nyctalus_no|Pipistrellu|Kerivoula_c|Kerivoula_c|Harpiocepha|Murina_cf_c|Murina_cf_c|Murina_cf_c|Miniopterus|Miniopterus|Miniopterus|Laephotis_w|Murina_cycl|Kerivoula_p|
Scotophilus|0           0.29439104  0.24619123  0.27725829  0.22689143  0.24910704  0.24736641  0.29266319  0.26703436  0.25226639  0.26327024  0.24884745  0.25252994  0.24007595  0.25499503  0.25226639  0.2534964   0.2461464   0.24007595  0.25376147  0.26091914  0.25103839  0.26747458  0.24371232  0.24891986  0.26493718  0.2634098   0.25261901  0.2507573   0.24371232  0.25596249  0.26022293  0.25606706  0.24910704  0.24371232  0.27853001  0.27219284  0.25719859  0.273456    0.26967289  0.27472129  0.26564544  0.28743511  0.25472843  0.26216344  0.27598871  0.26216344  0.2596769   0.25472843  0.26216344  0.26465824  0.25103839  0.23599975  0.2534964   0.24371232  0.2596769   0.26216344  0.27121862  0.25376147  0.26465824  0.26091914  0.26683023  0.25226639  0.23790722  0.23285568  0.23886774  0.26747458  0.25103839  0.25103839  0.25596249  0.26465824  0.26590876  0.2596769   0.26339661  0.24492837  
Nyctalus_le|0.29439104  0           0.22721563  0.22071504  0.21951119  0.22602328  0.22433824  0.3020818   0.22893972  0.23286105  0.23359876  0.23065845  0.24671505  0.22312856  0.25298337  0.23777508  0.24645286  0.24024421  0.22919655  0.23065845  0.24024421  0.24770078  0.24657937  0.25397172  0.24302615  0.25803602  0.23900863  0.21441142  0.24485321  0.23408654  0.21471501  0.20779266  0.22187295  0.24075371  0.26029553  0.26795518  0.21710926  0.18197403  0.2900922   0.19234286  0.16949266  0.19980826  0.22406562  0.21710926  0.23531404  0.26156672  0.22433824  0.22919655  0.22312856  0.23777508  0.27052587  0.24396323  0.24229535  0.23408654  0.24770078  0.2590265   0.27181453  0.24173785  0.21974034  0.21591118  0.2016815   0.13606028  0.20285705  0.24546765  0.23777508  0.25145705  0.25046975  0.25145705  0.23777508  0.29539726  0.29141495  0.28351321  0.21951119  0.25158088  0.24645286  
Eptesicus_d|0.24619123  0.22721563  0           0.25092185  0.1340578   0.19002626  0.19195003  0.27251522  0.21876516  0.22025528  0.20919565  0.21568682  0.22774011  0.22025528  0.23629418  0.21785527  0.22507844  0.22025528  0.20951524  0.22652603  0.21905432  0.21307819  0.2336032   0.24097146  0.2326162   0.22168925  0.22750171  0.21201716  0.23187478  0.21665815  0.22266298  0.22652603  0.2202001   0.22554987  0.24717497  0.29209858  0.26737821  0.23604533  0.27122766  0.23850435  0.25720856  0.24053445  0.26724931  0.22145816  0.24097146  0.22993283  0.22145816  0.22507844  0.21905432  0.23850435  0.25092185  0.23973689  0.21606246  0.22993283  0.23604533  0.26354842  0.26609944  0.20618174  0.22652603  0.23850435  0.23604533  0.24856629  0.22993283  0.23017419  0.22266298  0.22507844  0.23384019  0.2071493   0.2262891   0.27251522  0.27380499  0.27380499  0.2262891   0.21041721  0.22386974  
Vespertilio|0.27725829  0.22071504  0.25092185  0           0.23381332  0.22950714  0.23982779  0.32410002  0.22283708  0.22192718  0.22283708  0.21510337  0.25226639  0.22428939  0.25596249  0.2495524   0.24103649  0.22192718  0.24467433  0.22333552  0.24224715  0.23022766  0.2326162   0.26313302  0.2425421   0.2498124   0.24103649  0.24132457  0.22851354  0.21957239  0.22547329  0.20485703  0.23985971  0.22120009  0.25323188  0.29105502  0.12369736  0.21839776  0.27316661  0.22074886  0.23501236  0.2321345   0.23719158  0.21488487  0.24832991  0.24345976  0.24345976  0.24345976  0.23862103  0.2326162   0.24832991  0.25569494  0.26034715  0.26064545  0.2618882   0.27569613  0.28976303  0.26841608  0.21160278  0.20559683  0.20675156  0.2313887   0.25816611  0.24371232  0.23501236  0.2544624   0.25093958  0.25077689  0.24589088  0.27950646  0.27696409  0.27696409  0.21722497  0.25630308  0.22665906  
Eptesicus_f|0.22689143  0.21951119  0.1340578   0.23381332  0           0.16112267  0.16626197  0.28590036  0.21693618  0.20675156  0.21576155  0.19547932  0.22333552  0.21839776  0.21627387  0.22074886  0.21255206  0.21839776  0.19984967  0.22215395  0.22665906  0.21255206  0.22421611  0.22310735  0.21385334  0.21744621  0.21138836  0.21738     0.21894785  0.21022647  0.21138836  0.22356416  0.22069699  0.22831477  0.22665906  0.28205749  0.2544624   0.23022766  0.26938827  0.20906638  0.22310735  0.22019157  0.25182619  0.21722497  0.23142098  0.22665906  0.19984967  0.20329268  0.22310735  0.21722497  0.23381332  0.21957239  0.22137734  0.23381332  0.21605401  0.25077689  0.25940476  0.20811845  0.21043954  0.20906638  0.20675156  0.2338457   0.20906638  0.22451895  0.21255206  0.23142098  0.23624524  0.22428939  0.22074886  0.25940476  0.26313302  0.25200338  0.21488487  0.22583531  0.22547329  
Eptesicus_n|0.24910704  0.22602328  0.19002626  0.22950714  0.16112267  0           0.0168846   0.28265952  0.21738     0.21649419  0.20917679  0.21554171  0.22379327  0.21298404  0.21789005  0.22120009  0.22356416  0.22831477  0.21532232  0.20737995  0.21298404  0.20485703  0.23068445  0.21649419  0.22137734  0.22854952  0.22950714  0.23093161  0.21346877  0.22238119  0.22712429  0.21224867  0.22115009  0.22047115  0.22712429  0.29297782  0.24274986  0.23911495  0.28651227  0.23549758  0.25623061  0.24111143  0.25855256  0.21532232  0.2259357   0.22238119  0.20485703  0.20601265  0.22120009  0.23309566  0.24518295  0.22474899  0.23020656  0.23549758  0.21884345  0.25130044  0.2587079   0.20160403  0.2214264   0.22831477  0.22712429  0.21847403  0.22712429  0.22735763  0.21884345  0.24518295  0.23309991  0.22238119  0.23309566  0.27248125  0.30081079  0.29557974  0.22712429  0.23550916  0.20601265  
Eptesicus_s|0.24736641  0.22433824  0.19195003  0.23982779  0.16626197  0.0168846   0           0.28333626  0.21576155  0.21255206  0.20643017  0.21627387  0.22097424  0.21255206  0.22215395  0.22074886  0.21957239  0.22428939  0.21488487  0.20811845  0.20906638  0.21022647  0.23141041  0.21488487  0.22210814  0.23405424  0.23022766  0.23045481  0.2118528   0.21722497  0.23022766  0.22002084  0.21598185  0.22002084  0.2326162   0.28976303  0.24345976  0.23621333  0.2782342   0.23022766  0.25200338  0.24060917  0.25552991  0.21605401  0.21957239  0.22192718  0.20675156  0.20790808  0.21957239  0.23022766  0.2471094   0.22665906  0.2321345   0.23142098  0.21722497  0.25323188  0.26064545  0.19206893  0.22215395  0.23381332  0.2278467   0.21922298  0.23022766  0.22927144  0.21488487  0.25200338  0.23624524  0.23022766  0.23142098  0.2744303   0.30541578  0.30016181  0.2278467   0.24290388  0.20444387  
Lasiurus_sp|0.29266319  0.3020818   0.27251522  0.32410002  0.28590036  0.28265952  0.28333626  0           0.28070005  0.2936457   0.29883565  0.2887822   0.29007363  0.29624536  0.29526172  0.27190505  0.29754857  0.28847327  0.26938827  0.27853001  0.28976303  0.30673504  0.31681667  0.26562886  0.29816995  0.30442814  0.30016181  0.28516008  0.29516819  0.30805662  0.3107068   0.31538722  0.28228266  0.28651227  0.31737351  0.33088739  0.32005688  0.30409883  0.32410002  0.31203541  0.318714    0.32560568  0.33098343  0.31603542  0.2949444   0.31203541  0.28976303  0.28976303  0.27950646  0.30541578  0.31203541  0.30938054  0.30145333  0.26813304  0.26313302  0.28976303  0.28976303  0.30179771  0.30048595  0.29754857  0.2936457   0.30884354  0.32952499  0.30574682  0.29754857  0.2949444   0.30343541  0.28847327  0.28590036  0.32545259  0.31603542  0.31336638  0.30278419  0.29657189  0.29624536  
Myotis_albe|0.26703436  0.22893972  0.21876516  0.22283708  0.21693618  0.21738     0.21576155  0.28070005  0           0.16691765  0.17535063  0.16708238  0.17594184  0.14204154  0.18603545  0.18247376  0.16801817  0.12002738  0.15708503  0.1826558   0.18247376  0.13252767  0.10876163  0.19037452  0.17458262  0.1871654   0.17132943  0.17458262  0.09176786  0.14204154  0.15060084  0.14125206  0.18000796  0.11715781  0.20759027  0.25305873  0.2252105   0.22165318  0.2542933   0.21458876  0.2456937   0.25894332  0.24918069  0.15060084  0.17576731  0.1691203   0.1691203   0.16581875  0.1768809   0.18023161  0.20991585  0.17465538  0.17046694  0.1960693   0.18584961  0.23478001  0.24203813  0.24350788  0.22306573  0.22640003  0.2252105   0.24229535  0.24082355  0.17594184  0.17576731  0.21693618  0.22036416  0.20180766  0.18810865  0.26049681  0.25676855  0.259252    0.22997999  0.20476359  0.18135185  
Myotis_blyt|0.25226639  0.23286105  0.22025528  0.22192718  0.20675156  0.21649419  0.21255206  0.2936457   0.16691765  0           0.05761515  0.10338517  0.15879175  0.1575536   0.15554382  0.17507265  0.15539222  0.16845496  0.1575536   0.16642541  0.17729158  0.15647213  0.17906359  0.15323704  0.16175693  0.16096488  0.16516788  0.12545091  0.1728681   0.16626197  0.16407538  0.15894718  0.18829705  0.17430982  0.19984967  0.26813304  0.22903624  0.20444387  0.25569494  0.22547329  0.24224715  0.23575478  0.24203813  0.15647213  0.19414623  0.15539222  0.17065437  0.17065437  0.18961449  0.18623357  0.19528345  0.17840352  0.16098026  0.17065437  0.15108805  0.22547329  0.23501236  0.23046429  0.23165903  0.23982779  0.23381332  0.2338457   0.22665906  0.20005076  0.18286782  0.21839776  0.21237687  0.20214325  0.21488487  0.25323188  0.25816611  0.26064545  0.23862103  0.20787806  0.18735885  
